# 银狐主防 · 单文件查杀规则库
# 格式：类型|值   F=家族串 N=已知坏名 H=白加黑模块名 B=钓鱼诱饵词 S=伪装热门软件名
# 改完本文件需重新安装（安装器会拷贝到安装目录 data\probe_rules.txt），或手动放入 C:\ProgramData\SilverFoxGuard\
F|gh0st
F|winos
F|qQ996545
F|global\admin!!!
F|getinstall64
F|cb1st
F|yoursharedsecretkey
F|+sfuck
F|nhqdx.jpg
F|consys21
F|consysfun
F|instal.ini
F|xmplay.exe
F|c3exporer
F|c3explorer
F|stardict-editor.dll
F|autorecoverdat.dll
F|gpucache.xml
F|aptbin_main.dll
F|vfpower_32.dll
F|userinfoplugin.dll
F|bdapiutil64.sys
F|rwdriver.sys
F|updat4.vac
F|single.dll
F|code_shellcode
F|201ef99a-7fa0-444c-9399-19ba84f12a1a
F|tpalalccompletion
F|htlcenyrfywxhfnunqk
F|nthandlecallback.exe
N|bzy.exe
N|shanlian_vpn_64.exe
N|shanlianvpn_64.exe
N|vpn_installer_64.exe
N|server64.dll
N|vpn_setup.exe
N|chromeupdate_64.exe
N|wps_new_install.exe
H|cas.dll
H|sciter.dll
H|stardict-editor.dll
H|powrprof.dll
H|wsc.dll
H|dbghelp.dll
H|version.dll
H|userenv.dll
H|winhttp.dll
H|libcef_dll_wrapper.dll
H|log.dll
H|cortanaapi.dll
B|Ýª¥
B|¥ºX
B|ÁXe
B|e¹H
B|åDh
B|èå
B|ÝÄºX
B|Z³
B|éHVÑ
B|äh
B|%4
B|e4Ñ>
B|¡¡¥J
B|³
S|chrome
S|chromee
S|edge
S|qq
S|wechat
S|weixin
S|vpn
S|baidu
S|wps
S|taobao
S|alipay
S|360
S|telegram
S|whatsapp
